"ID"	"Title"	"Path"
"010_salatuo_tau_101.px"	"Electricity supply and production"	"ene/salatuo"
"020_salatuo_tau_102_en.px"	"Fuel use in electricity and heat production, TJ"	"ene/salatuo"
"030_salatuo_tau_103_en.px"	"Production and total consumption of electricity, GWh"	"ene/salatuo"
"040_salatuo_tau_104_en.px"	"District heat production, GWh"	"ene/salatuo"
"050_salatuo_tau_105_en.px"	"Industrial heat production, GWh"	"ene/salatuo"
"008_khi_tau_109.px"	"Consumer Price Index 2010=100"	"hin/khi"
"010_khi_tau_101_en.px"	"Consumer Price Index 2005=100"	"hin/khi"
"020_khi_tau_102.px"	"Consumer Price Index, main headings 2000=100, 2005=100, 2010=100"	"hin/khi"
"020_khi_tau_102_en.px"	"Consumer Price Index 2000=100"	"hin/khi"
"030_khi_tau_103.px"	"Consumer Price Indices, overall index"	"hin/khi"
"040_khi_tau_104.px"	"Annual changes of Consumer Price Index"	"hin/khi"
"050_khi_tau_105.px"	"Cost-of-living index 1951:10=100"	"hin/khi"
"055_khi_tau_108.px"	"Cost-of-living index 1938:8-1939:7=100"	"hin/khi"
"060_khi_tau_106.px"	"Harmonised Index of Consumer Prices (HICP) and Harmonised Index of Consumer Prices at Constant Taxes (HICP-CT) 2005=100"	"hin/khi"
"070_khi_tau_107.px"	"Average prices of commodities"	"hin/khi"
"090_khi_tau_110.px"	"Special Aggregates"	"hin/khi"
"020_kvhv_tau_101.px"	"Monthly comparative price levels (Finland=100) 1998-2015M05"	"hin/kvhv"
"009_maku_tau_104.px"	"Cost index of civil engineering works 2010=100, Indices by structure"	"hin/maku"
"010_maku_tau_101.px"	"Cost index of civil engineering works 2005=100, Indices by structure"	"hin/maku"
"020_maku_tau_102.px"	"Cost index of civil engineering works, baseyear 2000=100 and 1990=100"	"hin/maku"
"030_maku_tau_103.px"	"Cost index of civil engineering works, M-, K- S- and H-index"	"hin/maku"
"040_maku_tau_105.px"	"Cost index of civil engineering works 2010=100, Indices by cost factor, total index"	"hin/maku"
"050_maku_tau_106.px"	"Cost index of civil engineering works 2010=100, indices according to input items"	"hin/maku"
"017_mthi_tau_106.px"	"Index of producer prices of agricultural products 2010=100"	"hin/mthi"
"018_mthi_tau_105.px"	"Index of producer prices of agricultural products 2005=100"	"hin/mthi"
"020_mthi_tau_101.px"	"Index of producer prices of agricultural products 2000=100"	"hin/mthi"
"040_mthi_tau_102_en.px"	"Index of producer prices of agricultural products 1995=100"	"hin/mthi"
"060_mthi_tau_103_en.px"	"Index of producer prices of agricultural products 1990=100"	"hin/mthi"
"080_mthi_tau_104_en.px"	"Index of producer prices of agricultural products 1990=100, subsidy free"	"hin/mthi"
"004_pthi_tau_004.px"	"Producer Price Indices for Services 2010=100 (TOL 2008)"	"hin/pthi"
"005_pthi_tau_102.px"	"Producer Price Indices for Services 2005=100 (TOL 2008)"	"hin/pthi"
"010_pthi_tau_101_en.px"	"Producer Price Index for Services 2005=100 (TOL 2002)"	"hin/pthi"
"009_thi_tau_009.px"	"Producer Price Indices 2010=100 (TOL2008)"	"hin/thi"
"010_thi_tau_101.px"	"Producer Price Indices 2005=100 (TOL2008)"	"hin/thi"
"020_thi_tau_102_en.px"	"Producer Price Indices 2000=100 (TOL 2002)"	"hin/thi"
"030_thi_tau_103.px"	"Producer Price Indices 1949=100"	"hin/thi"
"017_ttohi_tau_105.px"	"Index of purchase prices of the means of agricultural production 2010=100"	"hin/ttohi"
"018_ttohi_tau_104.px"	"Index of purchase prices of the means of agricultural production 2005=100"	"hin/ttohi"
"020_ttohi_tau_101.px"	"Index of purchase prices of the means of agricultural production 2000=100"	"hin/ttohi"
"040_ttohi_tau_102_en.px"	"Index of purchase prices of the means of agricultural production 1995=100"	"hin/ttohi"
"060_ttohi_tau_103_en.px"	"The index of purchase prices of the means of agricultural production 1990=100"	"hin/ttohi"
"010_jali_tau_101.px"	"General government deficit and debt 1975-2014*"	"jul/jali"
"110_jmete_tau_101.px"	"General goverment expenditures by function 1990-2013"	"jul/jmete"
"010_jtume_tau_101.px"	"General Governments revenue and expenditure"	"jul/jtume"
"010_jyev_tau_101_en.px"	"General government debt by quarter"	"jul/jyev"
"010_jyrt_tau_101_en.px"	"General government financial accounts"	"jul/jyrt"
"010_kehyt_tau_101.px"	"Finland's Official Development Assistance Disbursements, Share of Gross National Income (GNI) 1975 - 2013"	"jul/kehyt"
"010_kehyt_tau_102.px"	"Finland's Official Development Assistance Disbursements, Share of Gross National Income (GNI) 1961-2012"	"jul/kehyt"
"101_vermak_tau_110.px"	"Taxes and tax-like payments, totals 1975-2014"	"jul/vermak"
"102_vermak_tau_120.px"	"Taxes and tax-like payments, tax types 1975-2014"	"jul/vermak"
"010_vtak_tau_101_en.px"	"Central government guarantees by quarter starting from 2002, EUR million"	"jul/vtak"
"008_altp_tau_008.px"	"Output and employment by major region 2000-2012*"	"kan/altp"
"018_altp_tau_018.px"	"Output and employment by major region 2000-2012*, 30 industries"	"kan/altp"
"028_altp_tau_028.px"	"Output and employment by region 2000-2012*"	"kan/altp"
"038_altp_tau_038.px"	"Output and employment by region 2000-2012*, 30 industries"	"kan/altp"
"048_altp_tau_048.px"	"Output and employment by sub-regional unit 2000-2012*"	"kan/altp"
"058_altp_tau_058.px"	"Output and employment by sub-regional unit 2000-2012*, 19 industries"	"kan/altp"
"062_altp_tau_062.px"	"Gross domestic product per capita by major region 2000-2012*"	"kan/altp"
"064_altp_tau_064.px"	"Gross domestic product per capita by region 2000-2012*"	"kan/altp"
"067_altp_tau_067.px"	"Gross domestic product per capita by sub-regional unit 2000-2012*"	"kan/altp"
"068_altp_tau_068.px"	"Gross fixed capital formation by region 2000-2012*"	"kan/altp"
"078_altp_tau_078.px"	"Households' transactions by major region 2000-2012*"	"kan/altp"
"088_altp_tau_088.px"	"Households' transactions by region 2000-2012*"	"kan/altp"
"098_altp_tau_098.px"	"Households' transactions by sub-regional unit 2000-2012*"	"kan/altp"
"010_klts_tau_050.px"	"Gross value added in the field of culture 2008-2012 (ESA 2010)"	"kan/klts"
"012_klts_tau_060.px"	"Culture output, gross value added and employed persons by industry"	"kan/klts"
"014_klts_tau_070.px"	"Private and public consumption expenditure of cultural industries by industry 2008-2012 (ESA 2010)"	"kan/klts"
"020_klts_tau_108.px"	"Gross value added in the field of culture (TOL 2008)"	"kan/klts"
"100_klts_tau_101.px"	"Value added in the fields of culture 19952008"	"kan/klts"
"110_ktkk_tau_101.px"	"Trend indicator of output 1996M01-"	"kan/ktkk"
"120_ktkk_tau_102.px"	"Trend Indicator of Output"	"kan/ktkk"
"010_mata_tau_110.px"	"Finland's balance of payments, monthly"	"kan/mata"
"015_mata_tau_115.px"	"Finland's current account, quarterly"	"kan/mata"
"020_mata_tau_120.px"	"Finland's current account, monthly"	"kan/mata"
"025_mata_tau_125.px"	"External assets and liabilities by sector, quarterly"	"kan/mata"
"030_mata_tau_130.px"	"Finland's financial account and international investment position, monthly"	"kan/mata"
"035_mata_tau_135.px"	"International investment position by sector, quarterly"	"kan/mata"
"045_mata_tau_145.px"	"International investment position by investment type, quarterly"	"kan/mata"
"050_mata_tau_150.px"	"Finland's current account"	"kan/mata"
"055_mata_tau_155.px"	"Gross external debt, quarterly"	"kan/mata"
"060_mata_tau_160.px"	"External assets and liabilities by investment type and sectors, stock"	"kan/mata"
"070_mata_tau_170.px"	"External assets and liabilities by investment type and sectors, flow"	"kan/mata"
"080_mata_tau_180.px"	"Current account by country breakdown"	"kan/mata"
"010_matp_tau_101_en.px"	"Domestic tourism consumption"	"kan/matp"
"020_matp_tau_102_en.px"	"Internal tourism consumption"	"kan/matp"
"030_matp_tau_103_en.px"	"Domestic supply and internal tourism consumption"	"kan/matp"
"040_matp_tau_104_en.px"	"Tourism demand and supply"	"kan/matp"
"050_matp_tau_105_en.px"	"Inbound tourism consumption"	"kan/matp"
"110_ntp_tau_101.px"	"Value added of industries quarterly (GDP production approach) 1990Q1-"	"kan/ntp/ntp_1"
"120_ntp_tau_102.px"	"GDP expenditure approach and national income 1990Q1-"	"kan/ntp/ntp_1"
"130_ntp_tau_103.px"	"GDP income approach quarterly 1990Q1-"	"kan/ntp/ntp_1"
"150_ntp_tau_105.px"	"Employment quarterly 1990Q1-"	"kan/ntp/ntp_1"
"110_ntp_tau_101.px"	"Value added of industries quarterly (GDP production approach) 1990Q1-"	"kan/ntp/ntp_2"
"120_ntp_tau_102.px"	"National balance of supply and demand  quarterly (GDP expenditure approach) 1990Q1-"	"kan/ntp/ntp_2"
"130_ntp_tau_103.px"	"GDP income approach quarterly 1990Q1-"	"kan/ntp/ntp_2"
"140_ntp_tau_104.px"	"National income quarterly 1990Q1-"	"kan/ntp/ntp_2"
"150_ntp_tau_105.px"	"Employment quarterly 1990Q1-"	"kan/ntp/ntp_2"
"160_ntp_tau_106.px"	"Historical time series: Quarterly national accounts 1975-1990 (Released 8.12.2006. Not updated.)"	"kan/ntp/ntp_2"
"170_ntp_tau_107.px"	"Historical time series: Quarterly national accounts 1960-1990 (Not updated)"	"kan/ntp/ntp_2"
"110_pt_tau_101.px"	"Supply table at basic prices 2012 (TOL2008/CPA2008)"	"kan/pt"
"120_pt_tau_102.px"	"Use table at basic prices 2012 (TOL2008/CPA2008)"	"kan/pt"
"130_pt_tau_103.px"	"Use table at purchasers prices 2012 (TOL2008/CPA2008)"	"kan/pt"
"140_pt_tau_104.px"	"Input-output table at basic prices 2012 (TOL2008/CPA2008)"	"kan/pt"
"150_pt_tau_105.px"	"Use table for imports at basic prices 2012 (TOL2008/CPA2008)"	"kan/pt"
"160_pt_tau_106.px"	"Input coefficients 2012 (TOL2008/CPA2008)"	"kan/pt"
"170_pt_tau_107.px"	"Labour input and labour input coefficients 2012 (TOL2008/CPA2008)"	"kan/pt"
"180_pt_tau_108.px"	"Components of price for output 2012 (TOL2008/CPA2008)"	"kan/pt"
"190_pt_tau_109.px"	"Inverse matrix 2012 (TOL2008/CPA2008)"	"kan/pt"
"191_pt_tau_101.px"	"Supply table at basic prices 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"192_pt_tau_102.px"	"Use table at basic prices 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"193_pt_tau_103.px"	"Use table at purchasers prices 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"194_pt_tau_104.px"	"Input-output table at basic prices 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"195_pt_tau_105.px"	"Use table for imports at basic prices 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"196_pt_tau_106.px"	"Input coefficients 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"197_pt_tau_107.px"	"Labour input and labour input coefficients 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"198_pt_tau_108.px"	"Components of price for output 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"199_pt_tau_109.px"	"Inverse matrix 2008-2011 (TOL2008/CPA2008)"	"kan/pt"
"200_pt_tau_120.px"	"Supply table at basic prices and in previous years prices 2011 (TOL2008/CPA2008)"	"kan/pt"
"210_pt_tau_101_en.px"	"Supply table at basic prices 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"210_pt_tau_121.px"	"Use table at purchasers prices and in previous years prices 2011 (TOL2008/CPA2008)"	"kan/pt"
"220_pt_tau_102_en.px"	"Use table at basic prices 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"230_pt_tau_103_en.px"	"Use table at purchasers 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"240_pt_tau_104_en.px"	"Input-output table at basic prices 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"250_pt_tau_105_en.px"	"Use table for imports at basic prices 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"260_pt_tau_106_en.px"	"Input coefficients 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"270_pt_tau_107_en.px"	"Labour input and labour input coefficients 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"280_pt_tau_108_en.px"	"Components of price for output 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"290_pt_tau_109_en.px"	"Inverse matrix 2000-2007 (TOL2002/CPA2002)"	"kan/pt"
"010_rtp_tau_101_en.px"	"Financial Accounts 1995-2014"	"kan/rtp"
"020_rtp_tau_102_en.px"	"Financial Accounts Stocks 1970-1994"	"kan/rtp"
"050_rtp_tau_105_en.px"	"Quarterly financial accounts data starting from 1997"	"kan/rtp"
"060_rtp_tau_106.px"	"Non-financial assets by sector 2010-2014"	"kan/rtp"
"010_sekn_tau_101.px"	"Quarterly sector accounts"	"kan/sekn"
"110_ttut_tau_101.px"	"Multi-factor productivity by industry 1976-2013, value added"	"kan/ttut"
"120_ttut_tau_102.px"	"Labour productivity by industry 1976-2013, value added"	"kan/ttut"
"130_ttut_tau_103.px"	"Multi-factor productivity by industry 1976-2013, production"	"kan/ttut"
"140_ttut_tau_104.px"	"Labour productivity by industry 1976-2013, production"	"kan/ttut"
"150_ttut_tau_105.px"	"Labour productivity by industries 1975-2014"	"kan/ttut"
"160_ttut_tau_106.px"	"Capital and labour compensation by industry 1975-2013"	"kan/ttut"
"170_ttut_tau_107.px"	"Capital stocks by industry 1975-2013"	"kan/ttut"
"180_ttut_tau_108.px"	"Nominal rate of return by industry 1975-2013"	"kan/ttut"
"190_ttut_tau_109.px"	"Depreciation rates by industry"	"kan/ttut"
"200_ttut_tau_110.px"	"Industries' productivity contributions to the national economy 1975-2013"	"kan/ttut"
"010_vtp_tau_011.px"	"Gross domestic product and -national income at current prices 1975-2014"	"kan/vtp"
"020_vtp_tau_021.px"	"Key indicators of households sector 1975-2014"	"kan/vtp"
"030_vtp_tau_031.px"	"Key indicators per capita 1975-2014"	"kan/vtp"
"040_vtp_tau_041.px"	"Main aggregates, percentages 1975-2014"	"kan/vtp"
"050_vtp_tau_051.px"	"Main aggregates at reference year 2010 prices, volume indices and change in volume indices 1975-2014"	"kan/vtp"
"060_vtp_tau_061.px"	"Main aggregates, price indices and changes in prices 1975-2014"	"kan/vtp"
"070_vtp_tau_071.px"	"Production and generation of income accounts 1975-2014"	"kan/vtp"
"080_vtp_tau_081.px"	"Employment and hours worked 1975-2014"	"kan/vtp"
"110_vtp_tau_111.px"	"Changes in inventories and net acquisition of valuables 1975-2014"	"kan/vtp"
"120_vtp_tau_121.px"	"Private consumption expenditure 1975-2014"	"kan/vtp"
"130_vtp_tau_131.px"	"Government consumption expenditure 1975-2014"	"kan/vtp"
"140_vtp_tau_141.px"	"Sector accounts 1975-2014"	"kan/vtp"
"150_vtp_tau_151.px"	"Sector accounts (main transactions) 1975-2014"	"kan/vtp"
"160_vtp_tau_161.px"	"General government's total revenue and -expenditure 1975-2014"	"kan/vtp"
"170_vtp_tau_171.px"	"Additional information 1975-2014"	"kan/vtp"
"180_vtp_tau_181.px"	"Gross fixed capital formation 1975-2014"	"kan/vtp"
"190_vtp_tau_191.px"	"Gross capital, Net capital, consumption and retirements of fixed capital 1975-2014"	"kan/vtp"
"195_vtp_tau_195.px"	"Research and development gross capital formation, gross capital stock and net capital stock 1975-2014"	"kan/vtp"
"200_vtp_tau_200.px"	"Historical time series: Structure of private consumption, exports and imports 1860-1970"	"kan/vtp"
"210_vtp_tau_210.px"	"Historical time series: National accounts 1860-2013"	"kan/vtp"
"310_vtp_tau_124_en.px"	"Households' indebtedness 1980-2008"	"kan/vtp"
"009_klv_tau_103_en.px"	"Turnover of trade 2010=100 (TOL 2008)"	"kau/klv"
"010_klv_tau_101_en.px"	"Turnover of trade 2005=100 (TOL 2008)"	"kau/klv"
"010_pul_tau_101.px"	"International trade in services by service item and region, 1 000 euros"	"kau/pul"
"020_pul_tau_102.px"	"International trade in services by service item, 1 000 euros"	"kau/pul"
"030_pul_tau_103.px"	"International trade in services by region, 1 000 euros"	"kau/pul"
"010_taukyv_tau_101.px"	"Monthly import and export of goods by statistical value (million euros), 2002-2015"	"kau/taukyv"
"010_jvie_tau_101.px"	"Mass media market volume in Finland 1997 - 2013"	"klt/jvie"
"005_klt_tau_115.px"	"Employed labour force in cultural occupations in 2000 - 2009"	"klt/klt"
"006_klt_tau_116.px"	"Employed labour force in cultural occupations by level of education in 2009"	"klt/klt"
"007_klt_tau_117.px"	"Employed labour force in cultural occupations by employer sector in 2009"	"klt/klt"
"040_klt_tau_101.px"	"Public libraries in mainland Finland 19992014"	"klt/klt"
"060_klt_tau_102.px"	"Use of the Internet to culture related purposes in the past three months in the spring 2008, 2009, 2010 ja 2011, share of population aged 16-74 years"	"klt/klt"
"010_maanp_tau_101.px"	"Willingness to defend the country,  % 1970-2014"	"klt/maanp"
"999_kou_tau_999_en.px"	"Empty test table"	"kou/1_kou_test"
"110_akop_tau_103.px"	"Total number of students in polytechnics by polytechnics, region of education field of education and type of education in 2001 to 2014"	"kou/akop"
"112_akop_tau_101.px"	"Completed polytechnic degrees in polytechnics by polytechnics, type of education, field of education and region of education in 2005 to 2014"	"kou/akop"
"010_aseve_tau_101.px"	"Conscription and international crisis management, 20002014"	"kou/aseve"
"010_khak_tau_001.px"	"Immediate transition to further studies by those having ended 9th grade ofcomprehensive school by location area of comprehensive school in 2010 - 2013"	"kou/khak"
"020_khak_tau_002.px"	"Immediate applying for further studies by completers of the 9th grade of comprehensive school by the region of location of the comprehensive school and sex in 2008 to 2013"	"kou/khak"
"030_khak_tau_003.px"	"Immediate transition for further studies by passers of the matriculation examination by the region of location of the educational institution and sex in 2008 to 2013"	"kou/khak"
"040_khak_tau_004.px"	"Immediate applying for further studies by passers of the matriculation examination by the region of location of the educational institution in 2008 to 2013"	"kou/khak"
"200_opiskt_tau_200.px"	"Students and qualifications in education leading to a qualification by education and sector of education in 2004 to 2013"	"kou/opiskt"
"400_opiskt_tau_400.px"	"Population and students and qualifications in post-comprehensive education leading to a qualification by type of education and age in 2004 to 2013"	"kou/opiskt"
"002_opku_tau_103.px"	"Progress of studies of entrants to university education in 2008 by the end of 2013 (lower and higher university degrees)"	"kou/opku"
"003_opku_tau_104.px"	"Progress of studies of entrants to polytechnic education in 2009 by the end of 2013 (youth education)"	"kou/opku"
"004_opku_tau_101.px"	"Progress of studies of entrants to vocational education (aimed at young people) in 2010 by the end of 2013"	"kou/opku"
"005_opku_tau_102.px"	"Progress of studies of entrants to upper secondary education (aimed at young people) in 2010 by the end of 2013"	"kou/opku"
"005_opku_tau_103_en.px"	"Progress of studies of entrants to university education in 2007 by the end of 2012 (lower and higher university degrees)"	"kou/opku"
"006_opku_tau_103.px"	"Progress of studies of entrants to university education in 2007 by the end of 2012 (lower and higher university degrees)"	"kou/opku"
"007_opku_tau_104.px"	"Progress of studies of entrants to polytechnic education in 2008 by the end of 2012 (youth education)"	"kou/opku"
"008_opku_tau_101.px"	"Progress of studies of entrants to vocational education (aimed at young people) in 2009 by the end of 2012"	"kou/opku"
"009_opku_tau_102.px"	"Progress of studies of entrants to upper secondary education (aimed at young people) in 2009 by the end of 2012"	"kou/opku"
"010_opku_tau_103_en.px"	"Progress of studies of entrants to university education in 2006 by the end of 2011 (lower and higher university degrees)"	"kou/opku"
"011_opku_tau_103.px"	"Progress of studies of entrants to university education in 2006 by the end of 2011 (lower and higher university degrees)"	"kou/opku"
"012_opku_tau_104.px"	"Progress of studies of entrants to polytechnic education in 2007 by the end of 2011 (youth education)"	"kou/opku"
"013_opku_tau_101.px"	"Progress of studies of entrants to vocational education (aimed at young people) in 2008 by the end of 2011"	"kou/opku"
"014_opku_tau_102.px"	"Progress of studies of entrants to upper secondary education (aimed at young people) in 2008 by the end of 2011"	"kou/opku"
"015_opku_102_en.px"	"Progress of studies of entrants to university education in 2005 by the end of 2010 (lower and higher university degrees)"	"kou/opku"
"016_opku_tau_103.px"	"Progress of studies of entrants to university education in 2005 by the end of 2010 (lower and higher university degrees) by Regions of Education, Field of Education, Gender and Data"	"kou/opku"
"010_opty_tau_101.px"	"Employment of students by level of education and fields of education in 2007 to 2013"	"kou/opty"
"020_opty_tau_102.px"	"Employment of students by level of education and region of residence in 2007 to 2013"	"kou/opty"
